Filing Date,Ticker,Company Name,Insider Name,Transaction Price,Price Bought,Value
2025-03-05 21:52:29,PR,Permian Resources Corp,Quinn William J,12.83,,9622450
2025-03-05 20:20:40,UAN,"Cvr Partners, LP",Icahn Carl C,73.62,,737935
2025-03-05 18:47:40,FLGT,"Fulgent Genetics, Inc.",Kim Paul,15.96,,1596470
2025-03-05 18:14:15,CABO,"Cable One, Inc.",Weitz Wallace R,245.51,,982020
2025-03-05 16:56:27,ECPG,Encore Capital Group Inc,Masih Ashish,35.14,,702800
2025-03-05 16:08:27,IFF,International Flavors & Fragrances Inc,Fyrwald J Erik,80.24,79.7901,2005878
2025-03-05 16:07:27,THM,International Tower Hill Mines Ltd,Paulson & Co. Inc.,0.48,,2900000
2025-03-05 16:05:17,ARCC,Ares Capital Corp,Miller James Robert,23.32,,932800
2025-03-05 16:01:19,STRA,"Strategic Education, Inc.",Silberman Robert S,80.7,,849610
2025-03-05 15:40:13,MAC,Macerich Co,Hsieh Jackson,17.75,17.95,993832
2025-03-05 12:55:42,NOG,"Northern Oil & Gas, Inc.",Lasher Stuart G.,27.62,28.46,552400
2025-03-05 12:49:43,BEN,Franklin Resources Inc,Johnson Charles B,19.57,,1957000
2025-03-05 10:18:39,DGICA,Donegal Group Inc,Donegal Mutual Insurance Co,17.88,,524047
2025-03-05 06:59:47,BHVN,Biohaven Ltd.,Childs John W,41.0,,2999970
2025-03-04 21:26:04,BILL,"Bill Holdings, Inc.",Jacobs Brian,53.54,50.21,1338397
2025-03-04 21:07:16,OMI,Owens & Minor Inc/va/,"Coliseum Capital Management, LLC",9.47,9.97,27386158
2025-03-04 20:27:07,SBGI,"Sinclair, Inc.",Smith David D,14.01,14.22,538243
2025-03-04 20:19:51,LAB,Standard Biotools Inc.,"Casdin Partners Master Fund, L.P.",1.07,,5134321
2025-03-04 19:44:30,CVI,Cvr Energy Inc,Icahn Carl C,17.89,18.0,6749837
2025-03-04 19:28:14,PBF,Pbf Energy Inc.,Control Empresarial De Capitales S.A. De C.V.,20.21,,3131775
2025-03-04 18:45:00,TNET,"Trinet Group, Inc.",Simonds Michael Q,73.59,73.86,993435
2025-03-04 18:30:03,TMCI,"Treace Medical Concepts, Inc.",Treace John T.,8.73,8.5,524064
2025-03-04 17:25:09,NOG,"Northern Oil & Gas, Inc.",Akradi Bahram,28.03,28.43,1121360
2025-03-04 17:03:02,AUPH,Aurinia Pharmaceuticals Inc.,Tang Kevin,7.95,8.1,12713126
2025-03-04 16:30:59,TBLA,Taboola.Com Ltd.,Limon Zvi,2.83,2.78,707500
2025-03-04 16:24:36,MRNA,"Moderna, Inc.",Sagan Paul,31.76,30.37,1004251
2025-03-04 16:07:21,STRL,"Sterling Infrastructure, Inc.",Cutillo Joseph A,124.32,124.64,1009511
2025-03-04 16:05:12,CDXS,"Codexis, Inc.",Opaleye Management Inc.,2.95,2.72,574340
2025-03-04 15:57:22,FMC,Fmc Corp,Brondeau Pierre R,35.9,36.71,1938449
2025-03-04 10:25:31,FERA,Fifth Era Acquisition Corp I,Fifth Era Acquisition Sponsor I LLC,10.0,,3800000
2025-03-03 21:16:18,RUN,Sunrun Inc.,Fenster Edward Harris,6.8,6.1797,1020600
2025-03-03 19:29:43,CBNA,Chain Bridge Bancorp Inc,Friedman Martin S.,24.35,24.15,628238
