Filing Date,Ticker,Company Name,Insider Name,Transaction Price,Price Bought,Value,24h_Change_%,1w_Change_%,1m_Change_%
2025-03-10 16:40:02,WSC,Willscot Holdings Corp,Soultz Bradley Lee,28.74,,287400,,,
2025-03-10 16:06:34,AAP,Advance Auto Parts Inc,Lee Eugene I Jr,34.15,,499956,,,
2025-03-10 16:05:06,UPBD,"Upbound Group, Inc.",Karam Fahmi,25.82,,296930,,,
2025-03-10 15:39:53,APPS,"Digital Turbine, Inc.",Stone William Gordon III,2.59,,259000,,,
2025-03-10 13:42:46,SBGI,"Sinclair, Inc.",Smith David D,14.28,,324828,,,
2025-03-10 10:40:12,ENX,Eaton Vance New York Municipal Bond Fund,"Saba Capital Management, L.P.",9.81,,262331,,,
2025-03-10 08:11:43,EVH,"Evolent Health, Inc.",Blackley Seth,9.01,,497577,,,
2025-03-07 19:14:15,TNYA,"Tenaya Therapeutics, Inc.",Goeddel David V,0.7,,24999999,-27.76%,,
2025-03-07 18:44:42,JELD,"Jeld-Wen Holding, Inc.",Turtle Creek Asset Management Inc.,5.66,6.16,774037,-1.46%,,
2025-03-07 18:31:22,ECAT,Blackrock Esg Capital Allocation Term Trust,"Blackrock, Inc.",16.5,16.54,1313400,-2.06%,,
2025-03-07 18:05:32,JANX,"Janux Therapeutics, Inc.","Ra Capital Management, L.P.",30.75,30.61,25342965,-1.27%,,
2025-03-07 17:41:29,CVI,Cvr Energy Inc,Icahn Carl C,17.98,,3654697,+1.11%,,
2025-03-07 17:41:19,MGM,Mgm Resorts International,Halkyard Jonathan S,32.17,,321700,-0.87%,,
2025-03-07 17:08:27,SRE,Sempra,Mark Richard J,69.81,,499840,-0.49%,,
2025-03-07 16:44:33,FLWS,1 800 Flowers Com Inc,"Fund 1 Investments, LLC",6.5,,724248,+1.08%,,
2025-03-07 16:37:44,CMG,Chipotle Mexican Grill Inc,Gutierrez Mauricio,53.0,,498200,-5.98%,,
2025-03-07 16:21:21,ELAN,Elanco Animal Health Inc,Hoover R David,10.9,,272558,-0.92%,,
2025-03-07 16:15:39,PBF,Pbf Energy Inc.,Control Empresarial De Capitales S.A. De C.V.,19.13,,1912640,+8.83%,,
2025-03-07 16:05:17,PR,Permian Resources Corp,Quinn William J,12.1,,3024525,+1.9%,,
2025-03-06 21:02:51,SEPN,"Septerna, Inc.",Ezekowitz Alan,5.95,,515934,+8.07%,,
2025-03-06 19:50:27,AMRC,"Ameresco, Inc.",Sakellaris George P,9.73,,1216750,+13.98%,,
2025-03-06 18:45:04,CORZ,"Core Scientific, Inc./Tx",Levy Jordan,8.01,,500506,-2.87%,,
2025-03-06 17:45:32,WD,"Walker & Dunlop, Inc.",Walker William M,86.21,,1508671,+1.66%,,
2025-03-06 17:20:42,BLMN,"Bloomin' Brands, Inc.",Spanos Mike,8.63,8.56,1018340,+2.69%,,
2025-03-06 17:13:59,IFF,International Flavors & Fragrances Inc,O'Byrne Kevin,80.44,82.06,522833,+0.56%,,
2025-03-06 17:02:04,TTSH,"Tile Shop Holdings, Inc.","Fund 1 Investments, LLC",6.99,6.84,541625,+1.17%,,
2025-03-06 16:28:17,ECPG,Encore Capital Group Inc,Clark Jonathan C,35.0,35.84,1001000,-0.28%,,
2025-03-06 13:19:13,SBGI,"Sinclair, Inc.",Smith David D,13.86,14.52,1156249,-0.83%,,
2025-03-06 09:27:05,ECAT,Blackrock Esg Capital Allocation Term Trust,"Blackrock, Inc.",16.64,16.7,1324544,-0.96%,,
2025-03-05 21:52:29,PR,Permian Resources Corp,Quinn William J,12.83,12.48,9622450,+1.52%,,
2025-03-05 20:20:40,UAN,"Cvr Partners, LP",Icahn Carl C,73.62,75.18,737935,+1.76%,,
2025-03-05 18:47:40,FLGT,"Fulgent Genetics, Inc.",Kim Paul,15.96,16.91,1596470,+9.93%,,
2025-03-05 18:14:15,CABO,"Cable One, Inc.",Weitz Wallace R,245.51,255.3,982020,+8.75%,,
2025-03-05 16:56:27,ECPG,Encore Capital Group Inc,Masih Ashish,35.14,34.97,702800,+2.2%,,
2025-03-05 16:08:27,IFF,International Flavors & Fragrances Inc,Fyrwald J Erik,80.24,82.06,2005878,+0.56%,,
2025-03-05 16:07:27,THM,International Tower Hill Mines Ltd,Paulson & Co. Inc.,0.48,0.5004,2900000,+23.9%,,
2025-03-05 16:05:17,ARCC,Ares Capital Corp,Miller James Robert,23.32,22.92,932800,+0.39%,,
2025-03-05 16:01:19,STRA,"Strategic Education, Inc.",Silberman Robert S,80.7,,849610,+3.26%,,
2025-03-05 15:40:13,MAC,Macerich Co,Hsieh Jackson,17.75,,993832,-4.9%,,
2025-03-05 12:55:42,NOG,"Northern Oil & Gas, Inc.",Lasher Stuart G.,27.62,,552400,-0.47%,,
2025-03-05 12:49:43,BEN,Franklin Resources Inc,Johnson Charles B,19.57,,1957000,+3.83%,,
2025-03-05 10:18:39,DGICA,Donegal Group Inc,Donegal Mutual Insurance Co,17.88,,524047,+0.11%,,
2025-03-05 06:59:47,BHVN,Biohaven Ltd.,Childs John W,41.0,,2999970,-27.17%,,
2025-03-04 21:26:04,BILL,"Bill Holdings, Inc.",Jacobs Brian,53.54,50.21,1338397,-5.08%,,
2025-03-04 21:07:16,OMI,Owens & Minor Inc/va/,"Coliseum Capital Management, LLC",9.47,9.97,27386158,+0.0%,,
2025-03-04 20:27:07,SBGI,"Sinclair, Inc.",Smith David D,14.01,14.22,538243,+2.81%,,
2025-03-04 20:19:51,LAB,Standard Biotools Inc.,"Casdin Partners Master Fund, L.P.",1.07,,5134321,+5.61%,,
2025-03-04 19:44:30,CVI,Cvr Energy Inc,Icahn Carl C,17.89,18.0,6749837,+1.94%,,
2025-03-04 19:28:14,PBF,Pbf Energy Inc.,Control Empresarial De Capitales S.A. De C.V.,20.21,,3131775,+3.96%,,
2025-03-04 18:45:00,TNET,"Trinet Group, Inc.",Simonds Michael Q,73.59,73.86,993435,+1.02%,,
